Üretici,Kök_Neden_TR,Çözüm_TR
BMW,"BMW of North America, LLC (BMW), belirli 2017 530i, 530i xDrive, 540i ve 540i xDrive ile 2017-2018 530e xDrive araçlarını geri çağırıyor.  Sürücü ve yolcu kafa hava yastığı şişiricilerinin önceden aşırı düzeyde neme maruz kalması, kafa hava yastıklarının doğru şekilde açılmasını etkileyebilir.",BMW sahiplerini bilgilendirecek ve bayiler sol veya sağ kafa hava yastığını ücretsiz olarak değiştirecek.  Geri çağırma 24 Haziran 2020'de başladı. Araç sahipleri 1-800-525-7417 numaralı telefondan BMW müşteri hizmetleriyle iletişime geçebilir.
MACK,"FREN KONTROL DÜĞMESİNİN TESPİT PİMİ YANLIŞ HİZALANMIŞTIR (VALF PİSTON DELİĞİNİN MERKEZ HATTI DIŞINDA). BU, TOPUZUN TUTUCU PİM DELİĞİ BÖLGESİNDE AŞIRI GERİLMESİNE VE VANADAN AYRILMASINA NEDEN OLUR.","DELİKLER, DOĞRU HİZALAMA SAĞLAMAK İÇİN YENİDEN DEĞİŞTİRİLECEK VE PLASTİK DÜĞMELER, METAL TAKVİYELİ DAHA GÜÇLÜ MALZEMEDEN YAPILAN DÜĞMELERLE DEĞİŞTİRİLECEKTİR."
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2019-2021 CLA-Serisi, GLE/GLS-Serisi, A-Serisi, E-Serisi, E-Serisi Coupe ve Cabrio, GLA/GLB-Serisi, GLC-Serisi, CLS-Serisi ve AMG GT-Serisi 4 kapılı Coupe araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen MBUSA'nın geri çağırma raporuna bakın.  MBUX multimedya sistemi yazılımı, ekranın siyah kalmasına veya başlatma sonrasında yeniden başlatılmasına neden olabilir.  Bu, arka görüş kamerası görüntüsünün düzgün görüntülenmemesine neden olabilir.  Dolayısıyla bu araçlar, Federal Motorlu Taşıt Güvenlik Standardı'nın (FMVSS) 111 numaralı ""Arka Görünürlük"" gerekliliklerine uymuyor.",Multimedya sistemi yazılımı bir satıcı tarafından veya kablosuz (OTA) güncelleme yoluyla ücretsiz olarak güncellenecektir.  Sahip bildirim mektupları 28 Haziran 2021'den itibaren postaya verildi. Sahipler 1-800-367-6373 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numarası 2021050012'dir.
MCI,"BAZI MOTORLU ARAÇLARDA, YÜKSELTME KONEKTÖR MUHAFAZASI ZAMAN İÇİNDE BOZULARAK POZİTİF VE NEGATİF TERMİNALLERİ açığa çıkarabilir.",MÜŞTERİLERE BOOST KONNEKTÖRÜNÜ ÇIKARMALARI VE ATMALARI ÖNERİLİR.  MÜŞTERİLERE ALTERNATİF OLARAK YENİ TASARIM BOOST KONNEKTÖRÜ ÜCRETSİZ OLARAK SUNULACAKTIR.  GERİ ÇAĞIRMA 2 OCAK 2007'DE BAŞLADI. SAHİPLER 1-800-241-2947 TELEFONUNDA MCI İLE İLETİŞİME GEÇEBİLİR.
JAYCO,"Jayco, Inc. (Jayco), 2021-2022 Jayco Greyhawk, Greyhawk Prestige, Redhawk, Entegra Esteem ve Odyssey eğlence araçlarından bazılarını geri çağırıyor.  Servo direksiyon basınç hattı ile fren Hydroboost ünitesi arasındaki yetersiz bağlantı, ani hidrolik direksiyon sıvısı kaybına neden olabilir.","Bayiler, hidrolik direksiyon hatları ile Hydroboost ünitesi arasındaki bağlantıyı inceleyecek ve gerekiyorsa hidrolik direksiyon hatlarını ücretsiz olarak değiştirecektir.  Sahip bildirim mektupları 15 Haziran 2022'de gönderildi. Sahipler, 1-800-283-8267 numaralı telefondan Jayco müşteri hizmetlerinden Jayco müşteri hizmetleriyle iletişime geçebilir.  Jayco'nun bu geri çağırma numarası 22V-089."
IC BUS,"Navistar, Inc. (Navistar), Bendix ADB 22X fren kaliperleriyle donatılmış bazı 2016-2020 IC CE ve 2019 IC RE okul otobüslerini geri çağırıyor.  Sürücü tarafındaki arka frenler sürüklenebilir.",Navistar araç sahiplerini bilgilendirecek ve bayiler sol arka kaliperi ücretsiz olarak yeniden tasarlanmış bir ayar mekanizmasıyla değiştirecek.  Geri çağırma 12 Temmuz 2019'da başladı. Araç sahipleri 1-800-448-7825 numaralı telefondan Navistar müşteri hizmetleriyle iletişime geçebilir.  Navistar'ın bu geri çağırmaya ilişkin numarası 19506'dır.
ACURA,"Honda (American Honda Motor Co.), belirli 2013-2023 Honda Accord, Civic Coupe, Civic Sedan, Civic Hatchback, Civic Type R, CR-V, HR-V, Ridgeline, Odyssey, Acura ILX, MDX, MDX Hybrid, RDX, RLX, TLX, 2019-2022 Honda Insight, Passport, 2020 Honda CR-V Hybrid, 2018-2019 Honda Clarity PHEV, Fit ve 2015-2020 Honda Accord Hybrid, Pilot, Acura NSX araçları.  Yakıt deposunun içindeki yakıt pompası arızalanabilir.","Bayiler yakıt pompası modülünü ücretsiz olarak değiştirecektir.  Sahip mektupları 6 Eylül 2024'te postalandı. Araç sahipleri 1-888-234-2138 numaralı telefondan Honda müşteri hizmetleriyle iletişime geçebilir.  Honda'nın bu geri çağırmaya ilişkin numaraları KGC ve KGD'dir.  Bu geri çağırma, NHTSA geri çağırma numaralarının 21V-215 ve 20V-314'ün genişletilmesidir."
ITASCA,"ZF MODEL 8018 DİREKSİYON DİŞLİLERİ İLE DONATILAN BAZI MOTOR EV ŞASİLERİ, YANLIŞ DEVİRDAİM KÜRESEL ARA PARÇA İLE MONTE EDİLMİŞ OLABİLİR.  BU, POTANSİYEL DEVİRDAİM TOPLARININ DEVİRDAİM TOPASI DEVRESİNDEN KAÇMASINA İZİN VEREBİLİR VE DİREKSİYON KAYBIYLA SONUÇLANABİLİR.","WINNEBAGO, DİREKSİYON KUTUSUNUN ÜCRETSİZ DEĞİŞTİRİLMESİ İÇİN FREIGHTLINER VE ZF İLE ÇALIŞIYOR. SAHİPLER WINNEBAGO'YA 641-585-3535 TELEFONUNDAN VEYA 1-800-547-0712 TELEFONUNDAN FREIGHTLINER'A ULAŞABİLİR."
KENWORTH,"PACCAR, 6 Mayıs 2013 ile 17 Mayıs 2013 tarihleri ​​arasında üretilen 2014 model yılı Kenworth T170, T270, T370, T470, T660, T680, T800, T880 ve W900 kamyonlarını geri çağırıyor; ve model yılı 2014 Peterbilt 330, 337, 348, 365, 367, 382, 384, 386, 388, 389, 389K, 567, 579 ve 587 kamyonlar 1 Mayıs 2013 ile 17 Mayıs 2013 tarihleri arasında üretilmiştir. Kontak anahtarındaki dahili bir arıza, marş motorunun devreye girmesine neden olur. Anahtar çevrilmeden önce bir anahtarın kısmen yerleştirilmesi.",PACCAR sahipleri bilgilendirecek ve bayiler etkilenen kontak anahtarlarını ücretsiz olarak değiştirecek.  Geri çağırma 14 Haziran 2013'te başladı. Sahipler 1-425-828-5000 numaralı telefondan Kenworth veya 1-940-591-4000 numaralı telefondan Peterbilt ile iletişime geçebilir.  Kenworth'un geri çağırma kampanya numarası 13KWF'dir.  Peterbilt'in geri çağırma kampanya numarası 0513-E'dir.
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2016 - 2021 CLA-Class, GLA-Class, GLE-Class, GLS-Class, SLC-Class, A-Class, GT-Class, C-Class, E-Class, S-Class, CLS-Class, SL-Class, B-Class, GLB-Class, GLC-Class ve G-Class araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen Bölüm 573 raporuna bakın.  İletişim modülünün yazılım tasarımı, bir çarpışma durumunda acil çağrı sistemi (eCall) için doğru araç konumunu iletmede başarısız olabilir.",MBUSA sahipleri bilgilendirecek ve iletişim modülü yazılımı bir satıcı tarafından veya kablosuz (OTA) güncelleme yoluyla ücretsiz olarak güncellenecektir.  Geri çağırma 12 Mart 2021'de başladı. Araç sahipleri 1-877-762-8267 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numarası 2021020025'tir.
GRAND DESIGN,"Grand Design RV, LLC (Grand Design), belirli 2019-2024 Grand Design Solitude beşinci teker treylerlerini geri çağırıyor.  Basamaklı diş bağlantıları desteksiz olabilir ve bu da dişin kırılmasına neden olabilir.","Bayiler mevcut basamak basamaklarını ücretsiz olarak metal bir braket ile güçlendirecektir.  Sahip bildirim mektupları 22 Mayıs 2025'te gönderildi. Sahipler, 1-574-825-9679 numaralı telefondan Grand Design müşteri hizmetleriyle iletişime geçebilir.  Grand Design'ın bu geri çağırmaya ilişkin numarası 910048'dir."
PETERBILT,"PACCAR Incorporated (PACCAR), belirli Meritor 10-16K ve 18-23K önden çekişli akslarla donatılmış belirli 2024 Peterbilt 537, 2024-2025 Kenworth T380, T480, Peterbilt 548 ve 2025 Peterbilt 536 kamyonlarını geri çağırıyor.  Ön direksiyon tahrik akslarında yetersiz tekerlek yatağı yağı bulunabilir.","Bayiler, tekerlek ucunu yeni parçalarla inceleyip onaracak ve gerektiğinde yatakları ücretsiz olarak yağlayacaktır. Sahip mektupları 21 Temmuz 2025'te postalandı. Sahipler, 1-425-828-5888 numaralı telefondan Kenworth'un müşteri hizmetleriyle veya 1-940-591-4220 numaralı telefondan Peterbilt'in müşteri hizmetleriyle iletişime geçebilir.  PACCAR'ın bu geri çağırmaya ilişkin rakamları 24KWJ ve 24PBJ'dir."
NISSAN,"Nissan North America, Inc. (Nissan), 2023 model Ariya araçlarından bazılarını geri çağırıyor.  İnvertör yazılımı bir hatayı yanlış teşhis edebilir ve bu durum EV sistemini kapatarak sürücü gücünün kaybına neden olabilir.","Bayiler, aracın invertör yazılım versiyonunu inceleyecek ve gerekirse yazılımı ücretsiz olarak güncelleyecektir.  Sahip bildirim mektupları 12 Eylül 2024'te postalandı. Araç sahipleri, 1-800-867-7669 numaralı telefondan Nissan'ın müşteri hizmetleriyle iletişime geçebilir.  Nissan'ın bu geri çağırma numarası R24A8'dir."
NEWMAR,"Newmar Corporation (Newmar), 2008-2014 King Aire, 2009-2014 Essex, 2011-2015 Mountain Aire, Ventana ve Dutch Star, 2012-2014 Ventana LE, 2012-2015 Canyon Star ve 2015 London Aire karavanlarını belirli model yıllarına geri çağırıyor.  Etkilenen araçlarda, operatörün bilgisi olmadan yanlışlıkla kilitlenebilecek buzdolabı kapı mandalları bulunmaktadır.","Newmar, araç sahiplerini bilgilendirecek ve bayiler, otomatik olarak kilitlenmeyecek yeni bir yedek kapı mandalını ücretsiz olarak takacak.  Geri çağırma 24 Ocak 2016'da başladı. Araç sahipleri 1-800-731-8300 numaralı telefondan Newmar müşteri hizmetleriyle iletişime geçebilir."
KZRV,"KZRV, L.P., 1 Ocak 2006 ile 25 Nisan 2013 tarihleri ​​arasında üretilen ve Fastec Markalı kapı kilitleriyle donatılmış 2006-2013 model yılı çekilebilir seyahat treylerlerini geri çağırıyor.  Anahtarın sürgüyü sıkıştıracak şekilde kilitten çıkarılması mümkün olabilir.","KZRV, L.P. sahipleri bilgilendirecek ve Fastec, silindirlerin muayenesini ve gerektiğinde değiştirilmesini ücretsiz olarak koordine edecek.  Geri çağırma 31 Ocak 2014'te başladı. Araç sahipleri 1-260-768-4016 numaralı telefondan KZRV L.P. veya 1-800-837-2505 numaralı telefondan Fastec ile iletişime geçebilir."
WINNEBAGO,"BAZI MOTORLU KONUT ŞASİLERİ, FEDERAL MOTORLU TAŞIT GÜVENLİK STANDARDI NO. 105,""HİDROLİK VE ELEKTRİKLİ FREN SİSTEMLERİ.""  FREN SİSTEMİ UYARI GÖSTERGESİ STANDARDIN GEREKTİRDİĞİ ŞEKİLDE ÇALIŞMAYABİLİR.",BAYİLER BU ARAÇLARIN TAMİRİNİ YAPAR.   SAHİBİN BİLDİRİMİ 25 NİSAN 2003'TE BAŞLADI. ARAÇLARINI ANLAŞILMIŞ BİR SERVİS TARİHİNDE YETKİLİ BİR SATICİYE GÖTÜREN VE MAKUL BİR SÜRE İÇİNDE ÜCRETSİZ ÇÖZÜM ALMAYAN SAHİPLERİN 1-641-585-3535 TELEFONUNDAN WINNEBAGO İLE İLETİŞİME GEÇMESİ GEREKİR.
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2016 - 2021 CLA-Class, GLA-Class, GLE-Class, GLS-Class, SLC-Class, A-Class, GT-Class, C-Class, E-Class, S-Class, CLS-Class, SL-Class, B-Class, GLB-Class, GLC-Class ve G-Class araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen Bölüm 573 raporuna bakın.  İletişim modülünün yazılım tasarımı, bir çarpışma durumunda acil çağrı sistemi (eCall) için doğru araç konumunu iletmede başarısız olabilir.",MBUSA sahipleri bilgilendirecek ve iletişim modülü yazılımı bir satıcı tarafından veya kablosuz (OTA) güncelleme yoluyla ücretsiz olarak güncellenecektir.  Geri çağırma 12 Mart 2021'de başladı. Araç sahipleri 1-877-762-8267 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numarası 2021020025'tir.
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2017-2022 CLA-Class, GLA-Class, GLE-Class, GLS-Class, SLC-Class, A-Class, AMG GT-Class, C-Class, E-Class, S-Class, SL-Class, GLC-Class, CLS-Class, GLB-Class ve G-Class araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen MBUSA'nın geri çağırma raporuna bakın.  İletişim modülünün SIM kart yazılımındaki bir hata, mobil ağ bağlantısı hatasına neden olarak acil çağrı (eCall) sistemini devre dışı bırakabilir.","İletişim modülü yazılımı, Over-the-Air (OTA) güncellemesi yoluyla veya bir bayi tarafından ücretsiz olarak güncellenecektir.  Sahip bildirim mektupları 8 Temmuz 2022'de postalandı. Sahip bildirim mektupları 8 Temmuz 2022, 17 Mayıs 2024, 29 Temmuz 2024 ve 27 Eylül 2024'te aşamalı olarak postalanacak. Sahipler 1-800-367-6372 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numaraları 2022060005 ve 2023110006'dır."
WILSON,"WILSON TRAILER, 1 MART 2000 İLE 1 AĞUSTOS 2008 ARASINDA ÜRETİLEN BELİRLİ MODEL 2000'DEN 2008'E KADAR HAYVANCILIK RÖMORKLARINI GERİ ÇAĞIRIYOR. ÖN VE ARKA SÜSPANSİYON ASKILARI ARASINDAKİ ÇAPRAZ KANAL KIRILABİLİR VE FARK EDİLMEZSE ZAMAN İÇİNDE ÇAPRAZ OLABİLİR. ÇERÇEVENİN ESNEMESİNE NEDEN OLARAK ÇERÇEVEDE CİDDİ ÇATLAMALARA NEDEN OLUR.",WILSON TREYLER SAHİPLERİNİ BİLDİRECEK VE RÖMORKLARI ÜCRETSİZ ONARIM YAPILACAKTIR.  GÜVENLİK GERİ ÇAĞIRMASI 15 MART 2010'DA BAŞLADI. SAHİPLER 1-800-798-2002 TELEFONUNDA WILSON TREYLER'LA İLETİŞİME GEÇEBİLİR.
CRAFTSMEN,"ZF MODEL 8018 DİREKSİYON DİŞLİLERİ İLE DONATILAN BAZI MOTOR EV ŞASİLERİ, YANLIŞ DEVİRDAİM KÜRESEL ARA PARÇA İLE MONTE EDİLMİŞ OLABİLİR.  BU, POTANSİYEL OLARAK DÖNEN TOPLARIN DÖNEN TOP DEVRESİNDEN KAÇMASINA İZİN VEREBİLİR VE DİREKSİYON KAYBIYLA SONUÇLANABİLİR.",BAYİLER DİREKSİYONU ÜCRETSİZ DEĞİŞTİRECEKTİR.  GERİ ÇAĞIRMANIN BİRİNCİ AŞAMASI 1.392 ARAÇ İÇİN 30 OCAK 2008'DE BAŞLADI.  GENİŞLETİLMİŞ POSTALARIN 16 MAYIS 2008'DE BAŞLAMASI BEKLENİYOR. SAHİPLER 1-800-547-0712 TELEFONUNDA FREIGHTLINER'LA İLETİŞİME GEÇEBİLİR.
ROYAL ENFIELD,"Royal Enfield North America Limited (Royal Enfield), 2023 model Himalayan, Classic 350, Meteor 350, Hunter 350, Super Meteor 650, Int 650 ve Continental GT 650 motosikletlerini geri çağırıyor.  Yan ve arka reflektörler yeterli değil.  Bu nedenle, bu ışıklar Federal Motorlu Taşıt Güvenliği Standardı 108 numaralı ""Lambalar, Yansıtıcı Cihazlar ve İlgili Ekipmanlar"" gerekliliklerine uymamaktadır.","Bayiler yan ve arka reflektörleri ücretsiz olarak değiştirecektir.  Sahip bildirim mektuplarının 30 Ekim 2024'te postalanması bekleniyor. Sahipler, 1-866-600-1122 numaralı telefondan Royal Enfield'ın müşteri hizmetleriyle iletişime geçebilir.  Bu geri çağırma için Royal Enfield'ın numarası SC-43'tür."
